marca,modelo,ano,preco_brl,categoria,conector,url
byd,dolphin,2026,139900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2026-preto-19000km-27072
byd,dolphin mini,2026,109900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2026-preto-14000km-27073
byd,seal,2025,249900.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2025-cinza-24000km-27074
chevrolet,captiva ev,2026,174900.0,BEV,CCS2,https://carregados.com.br/carros/chevrolet-captiva-ev-premier-2026-branco-9000km-27075
byd,dolphin,2025,124000.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2025-prata-37000km-27076
byd,sealion 7,2027,339990.0,BEV,CCS2,https://carregados.com.br/carros/byd-sealion-7-awd-91-3kwh-2027-azul-0km-27077
byd,sealion 7,2027,339990.0,BEV,CCS2,https://carregados.com.br/carros/byd-sealion-7-awd-91-3kwh-2027-branco-0km-27078
tesla,model y,2021,299700.0,BEV,CCS2,https://carregados.com.br/carros/tesla-model-y-performance-2021-preto-16000km-27080
zeekr,001,2025,388890.0,BEV,CCS2,https://carregados.com.br/carros/zeekr-001-flagship-awd-2025-azul-17000km-27082
jac,e-js4,2024,81500.0,BEV,CCS2,https://carregados.com.br/carros/jac-e-js4-e-js4-2024-vermelho-39315km-27083
byd,dolphin,2027,149900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-cinza-0km-27084
volvo,xc90 plug-in hybrid,2021,215890.0,PHEV,Type 2,https://carregados.com.br/carros/volvo-xc90-plug-in-hybrid-plus-t8-awd-2021-cinza-95487km-27086
byd,dolphin mini,2027,124900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-branco-0km-27087
byd,dolphin mini,2025,115900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-plus-2025-branco-15000km-27042
gwm,ora 03,2027,164900.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-bev58-2027-cinza-0km-27043
byd,dolphin mini,2025,115900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-plus-2025-branco-33000km-27044
byd,atto 8,2027,365990.0,BEV,CCS2,https://carregados.com.br/carros/byd-atto-8-2027-cinza-342km-27045
byd,song pro dm-i flex,2026,149000.0,PHEV,CCS2,https://carregados.com.br/carros/byd-song-pro-dm-i-flex-gl-2026-cinza-41009km-27046
byd,dolphin mini,2027,123490.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-0km-27047
byd,seal,2024,195000.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2024-cinza-75000km-27049
gwm,ora 03,2026,145900.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-skin-2026-azul-7000km-27054
